,n,k,cycle_lengths_eadam,as_percent_of_matches_eadam
8848,1000,5,4,0.004419889502762431
8849,1000,5,8,0.008839779005524863
8850,1000,5,4,0.004419889502762431
8851,1000,5,3,0.0032967032967032967
8852,1000,5,3,0.0032967032967032967
8853,1000,5,3,0.0032967032967032967
8854,1000,5,23,0.025191675794085433
8855,1000,5,2,0.002190580503833516
8856,1000,5,6,0.0065717415115005475
8857,1000,5,4,0.004449388209121246
8858,1000,5,2,0.0022197558268590455
8859,1000,5,11,0.01220865704772475
8860,1000,5,14,0.01553829078801332
8861,1000,5,3,0.003329633740288568
8862,1000,5,9,0.009944751381215469
8863,1000,5,12,0.013259668508287293
8864,1000,5,3,0.0033149171270718232
8865,1000,5,3,0.0033149171270718232
8866,1000,5,5,0.005567928730512249
8867,1000,5,8,0.008908685968819599
8868,1000,5,10,0.011135857461024499
8869,1000,5,8,0.008733624454148471
8870,1000,5,2,0.002183406113537118
8871,1000,5,6,0.0065717415115005475
8872,1000,5,16,0.017524644030668127
8873,1000,5,7,0.007667031763417305
8874,1000,5,14,0.015267175572519083
8875,1000,5,9,0.009814612868047983
8876,1000,5,21,0.02292576419213974
8877,1000,5,13,0.01434878587196468
8878,1000,5,13,0.01434878587196468
8879,1000,5,2,0.002207505518763797
8880,1000,5,2,0.002207505518763797
8881,1000,5,9,0.009868421052631578
8882,1000,5,2,0.0021929824561403508
8883,1000,5,8,0.008839779005524863
8884,1000,5,23,0.02541436464088398
8885,1000,5,13,0.014364640883977901
8886,1000,5,9,0.009944751381215469
8887,1000,5,5,0.0055248618784530384
8888,1000,5,12,0.013259668508287293
8889,1000,5,8,0.008839779005524863
8890,1000,5,4,0.004419889502762431
8891,1000,5,8,0.008879023307436182
8892,1000,5,2,0.0022197558268590455
8893,1000,5,7,0.007683863885839737
8894,1000,5,6,0.006586169045005488
8895,1000,5,5,0.005488474204171241
8896,1000,5,13,0.014270032930845226
8897,1000,5,3,0.003278688524590164
8898,1000,5,32,0.034972677595628415
8899,1000,5,5,0.005488474204171241
8900,1000,5,7,0.007683863885839737
8901,1000,5,4,0.0043907793633369925
8902,1000,5,2,0.002190580503833516
8903,1000,5,18,0.019715224534501644
8904,1000,5,13,0.014130434782608696
8905,1000,5,6,0.006521739130434782
8906,1000,5,12,0.013043478260869565
8907,1000,5,2,0.002173913043478261
8908,1000,5,3,0.003260869565217391
8909,1000,5,8,0.008771929824561403
8910,1000,5,8,0.008771929824561403
8911,1000,5,19,0.020833333333333332
8912,1000,5,13,0.01425438596491228
8913,1000,5,15,0.01644736842105263
8914,1000,5,6,0.00663716814159292
8915,1000,5,7,0.007743362831858407
8916,1000,5,4,0.004424778761061947
8917,1000,5,8,0.00881057268722467
8918,1000,5,15,0.016519823788546256
8919,1000,5,26,0.028634361233480177
8920,1000,5,3,0.003303964757709251
8921,1000,5,7,0.007717750826901874
8922,1000,5,3,0.0033076074972436605
8923,1000,5,6,0.006615214994487321
8924,1000,5,16,0.017467248908296942
8925,1000,5,9,0.009846827133479213
8926,1000,5,23,0.025442477876106196
8927,1000,5,8,0.008849557522123894
